К содержанию,,,,,,,,,,,,,,,,,,
Валовой региональный продукт по субъектам Российской Федерации в 1998-2015 гг. (в текущих ценах; миллионов рублей),,,,,,,,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Томская область,20288.1,26663.2,40539.5,57041.1,75547,97084.3,132439.3,159578.5,188800.7,214487,248906.2,245808.3,284676.7,333885.7,371472.9,402562.1,430266.8,471456.7
Дальневосточный федеральный округ,168173,271898.6,360400.6,456964.0,553546.2,666492.8,803628.7,970981.7,1181517.6,1495391.1,1799908.4,2000294.8,2410988.7,2890065.3,3090998.6,3239564.1,3634851.4,4033862.5
Республика Бурятия,11140,16185.4,21574.5,30075.1,37884.5,52253.7,63918.5,74912.9,91712.4,107442,124738.5,121187.7,133525.6,153624.1,164737.8,176888.9,186492.9,202823.4
Республика Саха (Якутия),33632.4,62750.8,81960.4,100922.4,115117.1,132964.1,153496.7,183027,206845,242656.5,309518.3,328201.7,386825.1,486830.9,541306.8,570284.7,658140.4,747601.7
Забайкальский край,12864.6,20783.9,30024.6,35139.2,44555.8,53145.5,61261.8,69647.1,90732.1,110822.4,140302,148587.9,166742.5,203869,223968.8,229239.4,234840.8,247666.2
Камчатский край,11678.2,14919.8,18140.7,23031.7,25881.9,29747,35139.3,43974.3,56119.8,66076.8,77854.3,94643.2,103123.2,114375.9,127412.7,133364,145761.3,175404.8
Приморский край,31373.1,53242.2,62088.5,72826.1,96832.3,119333.7,152301.1,186623.3,215934.4,259041.4,316581.9,368996.7,470679.2,549722.8,557489.3,577473.9,642423,717609.9
Хабаровский край,29309.6,40306.9,64794.8,79891.5,101048.6,116318.1,133330.5,161194.4,194259.6,231293.2,269178.6,276895.4,353590.3,399594.2,437994.3,498067.2,539338.4,595792.3
Амурская область,14436.1,20676.3,26315.2,39052.8,45717.5,53199.9,64250.2,76861.2,95090.9,111761.2,131563.7,151118.6,178689.6,225401.7,229407.1,210700.9,232053,277380.4
Магаданская область,6983.4,10538.7,13009.5,17151.6,22374.8,24325.9,24612.3,27167.8,31203.2,35314.4,42053.8,47895.9,59619.7,72174.2,78417.9,88905.9,96936.8,125798.3
Сахалинская область,12610.5,26269.9,34777,47140.1,47139.8,63139.2,91729.6,121014.1,166105.4,286273,333581.6,392380.1,487659.5,600247.9,641886.4,671743.6,799165.4,837495.2
Еврейская автономная область,1510.1,3026,3784,4788.9,6838.5,8564.6,11230.9,14204.2,17976.8,23726.1,23977,25320,31555.9,39467,42743.6,38428.7,41948.1,44554.8
Чукотский автономный округ,2635,3198.7,3931.4,6944.6,10155.4,13501.1,12357.8,12355.4,15538,20984.1,30558.7,45067.6,38978.1,44757.6,45633.9,44466.9,57751.3,61735.5
